X Displacement (mm),Force_Up_X (N),Force_Up_Y (N),Force_Up_Z (N),Force_Down_X (N),Force_Down_Y (N),Force_Down_Z (N)
-1.4375,-0.000266521652965896,-0.000519452532371985,0.000288325018136915,-0.00184651543719464,-0.000946969210374402,0.000845097923604792
-1.4365,-0.000270564393413788,-0.000522987042592142,0.000280978781208746,-0.00184425311745938,-0.000944923819495591,0.000841045902086318
-1.4355,-0.000274607133861681,-0.0005265215528123,0.000273632544280575,-0.00184199079772412,-0.000942878428616779,0.000836993880567842
-1.4345,-0.000278649874309573,-0.000530056063032457,0.000266286307352405,-0.00183972847798887,-0.000940833037737967,0.000832941859049368
-1.4335,-0.000282692614757466,-0.000533590573252615,0.000258940070424234,-0.00183746615825361,-0.000938787646859155,0.000828889837530892
-1.4325,-0.000286735355205358,-0.000537125083472772,0.000251593833496064,-0.00183520383851835,-0.000936742255980343,0.000824837816012417
-1.4315,-0.000290778095653251,-0.00054065959369293,0.000244247596567893,-0.00183294151878309,-0.000934696865101531,0.000820785794493942
-1.4305,-0.000294820836101144,-0.000544194103913086,0.000236901359639724,-0.00183066139079782,-0.000932588766730598,0.000816750311326277
-1.4295,-0.000298863576549037,-0.000547728614133245,0.000229555122711553,-0.00182731189889605,-0.000926715159155008,0.000813707936160489
-1.4285,-0.000302906316996928,-0.000551263124353402,0.000222208885783383,-0.00182396240699429,-0.000920841551579419,0.000810665560994702
-1.4275,-0.000306949057444821,-0.00055479763457356,0.000214862648855211,-0.00182061291509252,-0.000914967944003829,0.000807623185828915
-1.4265,-0.000310991797892714,-0.000558332144793717,0.000207516411927042,-0.00181726342319075,-0.00090909433642824,0.000804580810663128
-1.4255,-0.000315034538340607,-0.000561866655013875,0.000200170174998871,-0.00181391393128899,-0.000903220728852651,0.000801538435497341
-1.4245,-0.000319077278788498,-0.000565401165234031,0.000192823938070701,-0.00181056443938722,-0.000897347121277062,0.000798496060331554
-1.4235,-0.000323120019236392,-0.00056893567545419,0.00018547770114253,-0.00180721494748546,-0.000891473513701472,0.000795453685165766
-1.4225,-0.000327162759684284,-0.000572470185674346,0.00017813146421436,-0.00180386545558369,-0.000885599906125884,0.000792411309999979
-1.4215,-0.000331205500132176,-0.000576004695894505,0.000170785227286189,-0.00180051596368193,-0.000879726298550294,0.000789368934834192
-1.4205,-0.000335248240580069,-0.000579539206114662,0.000163438990358019,-0.00179716647178016,-0.000873852690974705,0.000786326559668405
-1.4195,-0.000339290981027961,-0.00058307371633482,0.000156092753429848,-0.00179381697987839,-0.000867979083399115,0.000783284184502617
-1.4185,-0.000343333721475854,-0.000586608226554977,0.000148746516501678,-0.00179046748797663,-0.000862105475823527,0.00078024180933683
-1.4175,-0.000347376461923747,-0.000590142736775134,0.000141400279573507,-0.00178711799607486,-0.000856231868247937,0.000777199434171043
-1.4165,-0.000351419202371638,-0.000593677246995291,0.000134054042645338,-0.0017837685041731,-0.000850358260672349,0.000774157059005256
-1.4155,-0.000355461942819532,-0.000597211757215449,0.000126707805717166,-0.00178041901227133,-0.000844484653096758,0.000771114683839468
-1.4145,-0.000359504683267424,-0.000600746267435607,0.000119361568788997,-0.00177706952036957,-0.00083861104552117,0.000768072308673682
-1.4135,-0.000363547423715317,-0.000604280777655764,0.000112015331860825,-0.0017737200284678,-0.00083273743794558,0.000765029933507894
-1.4125,-0.000367590164163209,-0.000607815287875921,0.000104669094932656,-0.00177037053656603,-0.000826863830369992,0.000761987558342107
-1.4115,-0.000371632904611102,-0.000611349798096079,9.73228580044847e-05,-0.00176702104466427,-0.000820990222794402,0.00075894518317632
-1.4105,-0.000375675645058994,-0.000614884308316236,8.99766210763148e-05,-0.0017636715527625,-0.000815116615218813,0.000755902808010533
-1.4095,-0.000379718385506887,-0.000618418818536394,8.26303841481436e-05,-0.00176032206086074,-0.000809243007643223,0.000752860432844745
-1.4085,-0.000383761125954779,-0.000621953328756551,7.52841472199742e-05,-0.00175697256895897,-0.000803369400067634,0.000749818057678958
-1.4075,-0.000387803866402672,-0.000625487838976709,6.7937910291803e-05,-0.00175362307705721,-0.000797495792492044,0.000746775682513171
-1.4065,-0.000391846606850564,-0.000629022349196866,6.05916733636331e-05,-0.00175027358515544,-0.000791622184916456,0.000743733307347384
-1.4055,-0.000395889347298457,-0.000632556859417024,5.32454364354619e-05,-0.00174692409325367,-0.000785748577340866,0.000740690932181596
-1.4045,-0.000399932087746349,-0.000636091369637181,4.58991995072921e-05,-0.00174357460135191,-0.000779874969765278,0.000737648557015809
-1.4035,-0.000403974828194242,-0.000639625879857339,3.85529625791209e-05,-0.00174022510945014,-0.000774001362189687,0.000734606181850022
-1.4025,-0.000408017568642134,-0.000643160390077496,3.12067256509514e-05,-0.00173687561754838,-0.000768127754614099,0.000731563806684235
-1.4015,-0.000412060309090028,-0.000646694900297654,2.38604887227798e-05,-0.00173352612564661,-0.000762254147038509,0.000728521431518447
-1.4005,-0.000416103049537919,-0.000650229410517811,1.65142517946099e-05,-0.00173017663374485,-0.000756380539462921,0.000725479056352661
-1.3995,-0.000420145789985813,-0.000653763920737969,9.16801486643875e-06,-0.00172682714184308,-0.000750506931887331,0.000722436681186873
-1.3985,-0.000424188530433705,-0.000657298430958126,1.8217779382693e-06,-0.00172347764994131,-0.000744633324311742,0.000719394306021086
-1.3975,-0.000428231270881597,-0.000660832941178284,-5.52445898990188e-06,-0.00172012815803955,-0.000738759716736152,0.000716351930855298
-1.3965,-0.00043227401132949,-0.000664367451398441,-1.28706959180713e-05,-0.00171677866613778,-0.000732886109160564,0.000713309555689511
-1.3955,-0.000436218166205533,-0.000667817405339222,-1.94443798666871e-05,-0.00171342917423602,-0.000727012501584974,0.000710267180523724
-1.3945,-0.000439973259282204,-0.000671105202059352,-2.45365056756636e-05,-0.00171007968233425,-0.000721138894009385,0.000707224805357937
-1.3935,-0.000443728352358875,-0.000674392998779484,-2.96286314846413e-05,-0.00170673019043248,-0.000715265286433796,0.00070418243019215
-1.3925,-0.000447483445435545,-0.000677680795499614,-3.47207572936182e-05,-0.00170338069853072,-0.000709391678858207,0.000701140055026362
-1.3915,-0.000451238538512217,-0.000680968592219745,-3.98128831025956e-05,-0.00170003120662895,-0.000703518071282617,0.000698097679860575
